cdp_id,sign_list,number
1331,Schroder VS 15,16
1331,Fossey pp,65-68
1332,UET 2,52
1332,Clay BE A 14,23
1332,Koenig AfO Bei 16,70
1332,Ranke BE A 61,20
1332,Schroeder VS 12,16
1332,Clay BE A 10,18
1332,Schroder VS 15,16
1332,Fossey pp,65-68
1333,UET 2,52
1333,Clay BE A 14,23
1333,Koenig AfO Bei 16,118
1333,Ranke BE A 61,20
1333,Schroeder VS 12,16
1333,Clay BE A 10,18
1333,Schroder VS 15,16
1333,Fossey pp,65-68
1334,ARM XV,26
1334,Koenig AfO Bei 16,70
1334,Fossey pp,68ff
1335,UET 2,121
1335,ARM XV,243'?
1335,Fossey pp,849
1338,Fossey pp,524
1343,Clay BE A 14,110
1343,Schroder VS 15,98
1343,Fossey pp,"525ff, 614"
1344,Clay BE A 14,110
1344,Schroder VS 15,98
1344,Fossey pp,"525ff, 614"
1358,UET 2,1
1358,ARM XV,1
1358,Clay BE A 14,1
1358,Koenig AfO Bei 16,10
1358,Ranke BE A 61,1
1358,Schroeder VS 12,1
1358,Clay BE A 10,1
1358,Schroder VS 15,1
1359,UET 2,1
1359,ARM XV,1
1359,Clay BE A 14,1
1359,Koenig AfO Bei 16,24
1359,Ranke BE A 61,1
1359,Schroeder VS 12,2
1359,Clay BE A 10,1
1359,Schroder VS 15,1
1360,Clay BE A 14,8
1360,Fossey pp,36
1361,ARM XV,192
1361,Clay BE A 14,150
1361,Koenig AfO Bei 16,11
1361,Ranke BE A 61,127
1361,Schroeder VS 12,137
1361,Clay BE A 10,131
1361,Schroder VS 15,127
1361,Fossey pp,678-680
1364,UET 2,86
1364,Fossey pp,1071
1365,Fossey pp,817
1366,Fossey pp,"988, 1091"
1379,Fossey pp,62
1380,Fossey pp,62
1381,Fossey pp,62
1382,Fossey pp,62
1386,Clay BE A 14,54
1386,Fossey pp,252
1389,Fossey pp,391
1390,Fossey pp,391
1391,Fossey pp,391
1392,Fossey pp,391
1393,Fossey pp,391
1394,Fossey pp,391
1408,Fossey pp,507-509
1411,UET 2,164
1411,ARM XV,97
1411,Clay BE A 14,67
1411,Koenig AfO Bei 16,9
1411,Ranke BE A 61,179
1411,Schroeder VS 12,68
1411,Schroder VS 15,61
1411,Fossey pp,304-308
1412,UET 2,164
1412,ARM XV,97
1412,Clay BE A 14,67
1412,Koenig AfO Bei 16,13
1412,Ranke BE A 61,179
1412,Schroeder VS 12,68
1412,Schroder VS 15,61
1412,Fossey pp,304-308
1413,UET 2,164
1413,ARM XV,97
1413,Clay BE A 14,67
1413,Koenig AfO Bei 16,9
1413,Ranke BE A 61,179
1413,Schroeder VS 12,68
1413,Schroder VS 15,61
1413,Fossey pp,304-308
1414,UET 2,164
1414,ARM XV,97
1414,Clay BE A 14,67
1414,Koenig AfO Bei 16,13
1414,Ranke BE A 61,179
1414,Schroeder VS 12,68
1414,Schroder VS 15,61
1414,Fossey pp,304-308
1415,ARM XV,97
1415,Clay BE A 14,67
1415,Koenig AfO Bei 16,9
1415,Ranke BE A 61,179
1415,Schroeder VS 12,68
1415,Schroder VS 15,61
1415,Fossey pp,304-308
1416,ARM XV,97
1416,Clay BE A 14,67
1416,Koenig AfO Bei 16,13
1416,Ranke BE A 61,179
1416,Schroeder VS 12,68
1416,Schroder VS 15,61
1416,Fossey pp,304-308
1417,ARM XV,97
1417,Clay BE A 14,67
1417,Koenig AfO Bei 16,9
1417,Ranke BE A 61,179
1417,Schroeder VS 12,68
1417,Schroder VS 15,61
1417,Fossey pp,304-308
1418,ARM XV,97
1418,Clay BE A 14,67
1418,Koenig AfO Bei 16,13
1418,Ranke BE A 61,179
1418,Schroeder VS 12,68
1418,Schroder VS 15,61
1418,Fossey pp,304-308
1419,Koenig AfO Bei 16,9
1420,Koenig AfO Bei 16,13
1424,Schroeder VS 12,185_a
1432,UET 2,341
1432,Fossey pp,425ff
1435,UET 2,222
1435,ARM XV,4
1435,Clay BE A 14,151
1435,Koenig AfO Bei 16,14
1435,Ranke BE A 61,126
1435,Schroeder VS 12,3
1435,Clay BE A 10,128
1435,Schroder VS 15,4
1435,Fossey pp,3-5
1441,UET 2,9
1441,ARM XV,42
1441,Clay BE A 14,27
1441,Koenig AfO Bei 16,15
1441,Ranke BE A 61,11
1441,Schroeder VS 12,29
1441,Clay BE A 10,26
1441,Schroder VS 15,29
1442,UET 2,9
1442,ARM XV,42
1442,Clay BE A 14,27
1442,Koenig AfO Bei 16,128
1442,Ranke BE A 61,11
1442,Schroeder VS 12,29
1442,Clay BE A 10,26
1442,Schroder VS 15,29
1443,UET 2,302
1443,ARM XV,114
1443,Clay BE A 14,134
1443,Koenig AfO Bei 16,16
1443,Ranke BE A 61,56
1443,Clay BE A 10,115
1443,Fossey pp,"384ff, 386-389, 1075"
1444,UET 2,302
1444,ARM XV,114
1444,Clay BE A 14,134
1444,Koenig AfO Bei 16,16
1444,Ranke BE A 61,56
1444,Clay BE A 10,115
1444,Fossey pp,"384ff, 386-389, 1075"
1445,UET 2,301
1445,ARM XV,114
1445,Clay BE A 14,134
1445,Koenig AfO Bei 16,16
1445,Ranke BE A 61,56
1445,Clay BE A 10,115
1445,Fossey pp,"384ff, 386-389, 1075"
1446,UET 2,302
1446,Koenig AfO Bei 16,30
1446,Ranke BE A 61,56
1446,Clay BE A 10,115
1446,Fossey pp,"384ff, 386-389, 1075"
1447,UET 2,302
1447,Koenig AfO Bei 16,30
1447,Ranke BE A 61,56
1447,Clay BE A 10,115
1447,Fossey pp,"384ff, 386-389, 1075"
1448,UET 2,301
1448,Koenig AfO Bei 16,30
1448,Ranke BE A 61,56
1448,Clay BE A 10,115
1448,Fossey pp,"384ff, 386-389, 1075"
1459,Fossey pp,157
1460,Fossey pp,157
1465,Fossey pp,547
1466,UET 2,3
1466,ARM XV,8
1466,Clay BE A 14,5
1466,Koenig AfO Bei 16,125
1466,Ranke BE A 61,3
1466,Schroeder VS 12,6
1466,Clay BE A 10,4
1466,Schroder VS 15,7
1466,Fossey pp,18-22
1467,UET 2,4
1467,ARM XV,8
1467,Clay BE A 14,5
1467,Koenig AfO Bei 16,125
1467,Ranke BE A 61,3
1467,Schroeder VS 12,6
1467,Clay BE A 10,4
1467,Schroder VS 15,7
1467,Fossey pp,18-22
1468,UET 2,5
1468,ARM XV,8
1468,Clay BE A 14,5
1468,Koenig AfO Bei 16,125
1468,Ranke BE A 61,3
1468,Schroeder VS 12,6
1468,Clay BE A 10,4
1468,Schroder VS 15,7
1468,Fossey pp,18-22
1469,UET 2,3
1469,ARM XV,8
1469,Clay BE A 14,5
1469,Koenig AfO Bei 16,125
1469,Ranke BE A 61,3
1469,Schroeder VS 12,6
1469,Clay BE A 10,4
1469,Schroder VS 15,7
1469,Fossey pp,18-22
1470,UET 2,4
1470,ARM XV,8
1470,Clay BE A 14,5
1470,Koenig AfO Bei 16,125
1470,Ranke BE A 61,3
1470,Schroeder VS 12,6
1470,Clay BE A 10,4
1470,Schroder VS 15,7
1470,Fossey pp,18-22
1471,UET 2,5
1471,ARM XV,8
1471,Clay BE A 14,5
1471,Koenig AfO Bei 16,125
1471,Ranke BE A 61,3
1471,Schroeder VS 12,6
1471,Clay BE A 10,4
1471,Schroder VS 15,7
1471,Fossey pp,18-22
1472,UET 2,29
1473,Fossey pp,1054-1057
1475,Clay BE A 14,29
1475,Koenig AfO Bei 16,17
1475,Clay BE A 10,126
1475,Fossey pp,856ff
1476,Clay BE A 14,29
1476,Koenig AfO Bei 16,17
1476,Clay BE A 10,126
1476,Fossey pp,856ff
1477,Clay BE A 14,35
1477,Ranke BE A 61,22
1478,Fossey pp,1069
1480,Fossey pp,1069
1482,Fossey pp,1069
1484,Fossey pp,1068
1485,Fossey pp,1068
1486,Clay BE A 10,11
1486,Schroder VS 15,15
1486,Fossey pp,60ff
1487,Clay BE A 10,11
1487,Schroder VS 15,15
1487,Fossey pp,60ff
1488,Clay BE A 10,11
1488,Schroder VS 15,15
1488,Fossey pp,60ff
1489,Clay BE A 10,11
1489,Schroder VS 15,15
1489,Fossey pp,60ff
1492,Fossey pp,504
1493,Fossey pp,"716, 1081"
1494,Fossey pp,"716, 1081"
1495,UET 2,354
1495,Clay BE A 14,129
1495,Schroder VS 15,91a
1495,Fossey pp,"502, 503"
1496,UET 2,354
1496,Clay BE A 14,129
1496,Schroder VS 15,91a
1496,Fossey pp,"502, 503"
1497,UET 2,354
1497,Clay BE A 14,129
1497,Schroder VS 15,91a
1497,Fossey pp,"502, 503"
1498,UET 2,354
1498,Clay BE A 14,129
1498,Schroder VS 15,91a
1498,Fossey pp,"502, 503"
1499,UET 2,354
1499,Clay BE A 14,129
1499,Schroder VS 15,91a
1499,Fossey pp,"502, 503"
1500,UET 2,354
1500,Clay BE A 14,129
1500,Schroder VS 15,91a
1500,Fossey pp,"502, 503"
1501,UET 2,354
1501,Clay BE A 14,129
1501,Schroder VS 15,91a
1501,Fossey pp,"502, 503"
1502,UET 2,354
1502,Clay BE A 14,129
1502,Schroder VS 15,91a
1502,Fossey pp,"502, 503"
1503,UET 2,354
1503,Clay BE A 14,129
1503,Schroder VS 15,91a
1503,Fossey pp,"502, 503"
1504,UET 2,354
1504,Clay BE A 14,129
1504,Schroder VS 15,91a
1504,Fossey pp,"502, 503"
1505,UET 2,354
1505,Clay BE A 14,129
1505,Schroder VS 15,91a
1505,Fossey pp,"502, 503"
1506,UET 2,354
1506,Clay BE A 14,129
1506,Schroder VS 15,91a
1506,Fossey pp,"502, 503"
1507,UET 2,355
1507,Clay BE A 14,129
1507,Schroder VS 15,91a
1507,Fossey pp,"502, 503"
1508,Fossey pp,"504, 1076"
1509,UET 2,252
1509,ARM XV,47a
1509,Clay BE A 14,35
1509,Koenig AfO Bei 16,127
1509,Ranke BE A 61,22
1509,Schroeder VS 12,34
1509,Clay BE A 10,30
1509,Schroder VS 15,33
1510,UET 2,252
1510,ARM XV,47a
1510,Clay BE A 14,35
1510,Koenig AfO Bei 16,18
1510,Ranke BE A 61,22
1510,Schroeder VS 12,34
1510,Clay BE A 10,30
1510,Schroder VS 15,33
1511,UET 2,88
1511,Clay BE A 14,165
1511,Ranke BE A 61,121
1511,Clay BE A 10,142
1511,Schroder VS 15,130
1511,Fossey pp,686-690
1512,UET 2,88
1512,Clay BE A 14,165
1512,Clay BE A 10,142
1512,Schroder VS 15,130
1512,Fossey pp,686-690
1513,Fossey pp,524
1517,Fossey pp,950
1518,Fossey pp,939
1519,Fossey pp,939
1520,Fossey pp,947
1524,UET 2,309
1524,Clay BE A 10,10
1524,Fossey pp,58ff
1525,Fossey pp,774
1526,Fossey pp,774
1527,UET 2,350
1527,ARM XV,140
1527,Clay BE A 14,128
1527,Koenig AfO Bei 16,19
1527,Ranke BE A 61,75
1527,Schroeder VS 12,101
1527,Clay BE A 10,77
1527,Schroder VS 15,90
1527,Fossey pp,491-498
1528,UET 2,350
1528,ARM XV,140
1528,Clay BE A 14,128
1528,Koenig AfO Bei 16,19
1528,Ranke BE A 61,75
1528,Schroeder VS 12,101
1528,Clay BE A 10,77
1528,Schroder VS 15,90
1528,Fossey pp,491-498
1529,UET 2,350
1529,ARM XV,140
1529,Clay BE A 14,128
1529,Koenig AfO Bei 16,19
1529,Ranke BE A 61,75
1529,Schroeder VS 12,101
1529,Clay BE A 10,77
1529,Schroder VS 15,90
1529,Fossey pp,491-498
1530,UET 2,350
1530,ARM XV,140
1530,Clay BE A 14,128
1530,Koenig AfO Bei 16,19
1530,Ranke BE A 61,75
1530,Schroeder VS 12,101
1530,Clay BE A 10,77
1530,Schroder VS 15,90
1530,Fossey pp,491-498
1531,UET 2,351
1531,ARM XV,140
1531,Clay BE A 14,128
1531,Koenig AfO Bei 16,19
1531,Ranke BE A 61,75
1531,Schroeder VS 12,101
1531,Clay BE A 10,77
1531,Schroder VS 15,90
1531,Fossey pp,491-498
1533,Fossey pp,742-744
1536,Clay BE A 14,123
1536,Koenig AfO Bei 16,49
1536,Ranke BE A 61,73
1536,Schroeder VS 12,56
1536,Clay BE A 10,91
1536,Fossey pp,262-265
1538,UET 2,188
1538,Clay BE A 14,225
1538,Fossey pp,806ff
1539,UET 2,188
1539,Clay BE A 14,225
1539,Fossey pp,806ff
1540,UET 2,188
1540,Clay BE A 14,225
1540,Fossey pp,806ff
1544,Fossey pp,727
1546,UET 2,148
1546,ARM XV,213
1546,Clay BE A 14,206
